price,bedroom,bathroom,area(sqft),country,city,address,purpose,furnishing,completion_status,handover,project_name,propert_type
"2,960,888",3 beds,4 baths,"1,642 sqft", UAE, Dubai, Dubai South,Sale,Unfurnished,Off-Plan,Q1 2029,Golf Edge,Apartment
"575,000",Studio,1 bath,424 sqft, UAE, Dubai, Al Furjan,Sale,Unfurnished,Ready,Q4 2025,Candace Acacia,Apartment
"880,000",Studio,1 bath,482 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q2 2025,The Cosmopolitan (Damac Maison),Apartment
"1,045,000",1 bed,1 bath,572 sqft, UAE, Dubai, Arjan,Sale,Unfurnished,Ready,Q4 2025,Vincitore Benessere,Apartment
"1,180,417",1 bed,2 baths,792 sqft, UAE, Dubai, Al Furjan,Sale,Unfurnished,Off-Plan,Q4 2027,Reef 999,Apartment
"1,400,000",1 bed,1 bath,676 sqft, UAE, Dubai, Dubai Hills Estate,Sale,Unfurnished,Off-Plan,Q2 2026,Hills Park,Apartment
"750,000",Studio,1 bath,484 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Ready,Q2 2027,Banyan Tree Residences,Apartment
"1,495,000",1 bed,2 baths,730 sqft, UAE, Dubai, Al Jaddaf,Sale,Furnished,Ready,Q4 2024,Al Furjan West,Apartment
"7,299,999",3 beds,3 baths,"1,939 sqft", UAE, Dubai, Downtown Dubai,Sale,Unfurnished,Ready,Q1 2025,Green Community West,Apartment
"1,330,000",3 beds,3 baths,"1,680 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Sale,Unfurnished,Ready,Q2 2028,Vardon,Townhouse
"2,031,888",1 bed,1 bath,774 sqft, UAE, Dubai, Mina Rashid,Sale,Unfurnished,Off-Plan,Q4 2028,Porto View,Apartment
"647,000",Studio,1 bath,499 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q2 2026,Terraces Marasi Drive,Apartment
"666,915",Studio,1 bath,456 sqft, UAE, Dubai, Dubai Land Residence Complex,Sale,Furnished,Off-Plan,Q1 2027,Cove Edition Residence 4 by Imtiaz,Apartment
"330,000",Studio,1 bath,380 sqft, UAE, Dubai, Dubai Investment Park (DIP),Sale,Unfurnished,Off-Plan,Q2 2026,Verdana Residence 2,Apartment
"1,899,999",2 beds,1 bath,747 sqft, UAE, Dubai, Dubai Hills Estate,Sale,Furnished,Ready,Q4 2029,Golfville,Apartment
"919,900",1 bed,2 baths,637 sqft, UAE, Dubai, Dubai Production City (IMPZ),Sale,Unfurnished,Ready,Q4 2024,Dawn by Binghatti,Apartment
"925,000",Studio,1 bath,885 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q3 2026,Park Central,Apartment
"3,019,019",1 bed,2 baths,"1,187 sqft", UAE, Dubai, Business Bay,Sale,Unfurnished,Ready,Q2 2026,Sobha Reserve,Apartment
"710,000",1 bed,2 baths,861 sqft, UAE, Dubai, Dubai Sports City,Sale,Furnished,Ready,Q2 2028,Samana Resorts,Apartment
"2,065,777",2 beds,3 baths,"1,420 sqft", UAE, Dubai, Al Furjan,Sale,Furnished,Off-Plan,Q3 2026,Evora Residence,Apartment
"3,000,000",2 beds,3 baths,"2,324 sqft", UAE, Dubai, Meydan City,Sale,Unfurnished,Ready,Q4 2027,Marquise Square,Apartment
"3,950,000",4 beds,4 baths,"2,908 sqft", UAE, Dubai, Mudon,Sale,Unfurnished,Off-Plan,Q3 2026,Peninsula Three,Villa
"3,709,888",2 beds,3 baths,"1,686 sqft", UAE, Dubai, Culture Village (Jaddaf Waterfront),Sale,Unfurnished,Ready,Q4 2026,Palazzo Versace,Apartment
"450,000",Studio,1 bath,675 sqft, UAE, Dubai, Dubai Land Residence Complex,Sale,Unfurnished,Ready,Q3 2025,Durar A,Apartment
"1,250,000",1 bed,1 bath,764 sqft, UAE, Dubai, Arjan,Sale,Unfurnished,Ready,Q2 2025,Joya Blanca Residences,Apartment
"1,220,000",Studio,1 bath,495 sqft, UAE, Dubai, Bukadra,Sale,Unfurnished,Off-Plan,Q4 2027,340 Riverside Crescent,Apartment
"2,250,000",2 beds,3 baths,"1,248 sqft", UAE, Dubai, Dubai Islands,Sale,Unfurnished,Off-Plan,Q4 2026,Bonds Avenue Residences,Apartment
"3,200,000",5 beds,6 baths,"2,370 sqft", UAE, Dubai, DAMAC Lagoons,Sale,Furnished,Off-Plan,Q4 2025,Monte Carlo,Apartment
"3,750,000",4 beds,5 baths,"3,400 sqft", UAE, Dubai, Arabian Ranches 3,Sale,Unfurnished,Off-Plan,Q2 2026,Raya,Townhouse
"10,350,000",3 beds,4 baths,"2,392 sqft", UAE, Dubai, Palm Jumeirah,Sale,Unfurnished,Ready,Q2 2028,Kempinski Residences Marina,Apartment
"2,356,888",2 beds,2 baths,"1,104 sqft", UAE, Dubai, Expo City,Sale,Unfurnished,Off-Plan,Q1 2029,Terra Heights Building 2,Apartment
"1,100,000",2 beds,2 baths,882 sqft, UAE, Dubai, Dubailand,Sale,Unfurnished,Ready,Q1 2027,CANAL CROWN,Apartment
"13,500,000",4 beds,6 baths,"3,386 sqft", UAE, Dubai, Umm Suqeim,Sale,Unfurnished,Ready,Q3 2024,Jadeel -Madinat Jumeirah Living ,Apartment
"1,470,000",2 beds,3 baths,"1,368 sqft", UAE, Dubai, Dubai Sports City,Sale,Unfurnished,Off-Plan,Q3 2026,Fairway Residences by Prescott,Apartment
"1,150,000",1 bed,2 baths,809 sqft, UAE, Dubai, Wasl Gate,Sale,Unfurnished,Off-Plan,Q3 2027,Hillside Residences,Apartment
"1,400,000",2 beds,3 baths,"1,969 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Ready,Q1 2026,Miraclz Tower by Danube,Apartment
"875,000",Studio,1 bath,456 sqft, UAE, Dubai,Jumeirah Lake Towers (JLT),Sale,Unfurnished,Ready,Q2 2024,Imperial Avenue,Apartment
"1,080,000",Studio,1 bath,432 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q4 2024,MAG 318,Apartment
"2,600,000",Studio,1 bath,803 sqft, UAE, Dubai, Al Jaddaf,Sale,Unfurnished,Off-Plan,Q3 2025,Kempinski Residences The Creek,Apartment
"2,750,000",3 beds,4 baths,"1,984 sqft", UAE, Dubai, Arabian Ranches 3,Sale,Unfurnished,Off-Plan,Q3 2027,May,Townhouse
"2,990,000",2 beds,2 baths,"1,218 sqft", UAE, Dubai, Business Bay,Sale,Furnished,Off-Plan,Q4 2029,Bayz 102 by Danube,Apartment
"4,287,088",2 beds,3 baths,"1,663 sqft", UAE, Dubai, Business Bay,Sale,Unfurnished,Ready,Q4 2027,Wyndham Dubai Marina,Apartment
"2,850,000",2 beds,4 baths,"1,462 sqft", UAE, Dubai, DIFC,Sale,Unfurnished,Ready,Q4 2024,Green Community West,Apartment
"1,800,000",2 beds,3 baths,"1,010 sqft", UAE, Dubai, Dubai Science Park,Sale,Furnished,Off-Plan,Q4 2026,Opalz By Danube,Apartment
"1,260,000",2 beds,2 baths,970 sqft, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Sale,Unfurnished,Off-Plan,Q2 2027,ELO 3,Apartment
"1,850,000",3 beds,4 baths,"1,766 sqft", UAE, Dubai, Dubai Sports City,Sale,Furnished,Off-Plan,Q4 2027,The Community - Sports Arena,Apartment
"785,000",1 bed,2 baths,925 sqft, UAE, Dubai, Dubai Land Residence Complex,Sale,Unfurnished,Ready,Q1 2025,Etlala Residence,Apartment
"4,100,000",5 beds,7 baths,"2,363 sqft", UAE, Dubai, DAMAC Lagoons,Sale,Unfurnished,Off-Plan,Q4 2025,Mykonos,Townhouse
"9,950,000",5 beds,6 baths,"3,920 sqft", UAE, Dubai, Dubai Marina,Sale,Furnished,Ready,Q1 2026,Botanica Tower,Penthouse
"1,449,000",1 bed,2 baths,795 sqft, UAE, Dubai, Mohammed Bin Rashid City,Sale,Furnished,Ready,Q1 2029,Tiger Sky Tower,Apartment
"938,598",1 bed,1 bath,790 sqft, UAE, Dubai, Al Furjan,Sale,Furnished,Off-Plan,Q2 2025,Millennium Talia Residences,Apartment
"1,315,000",2 beds,3 baths,987 sqft, UAE, Dubai, Dubai Investment Park (DIP),Sale,Unfurnished,Off-Plan,Q2 2028,Marine 3,Apartment
"3,400,000",3 beds,4 baths,"2,293 sqft", UAE, Dubai, Athlon by Aldar,Sale,Unfurnished,Off-Plan,Q2 2028,Delphi,Townhouse
"1,302,869",1 bed,1 bath,726 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q1 2026,Q Gardens Lofts 2,Apartment
"770,000",1 bed,1 bath,478 sqft, UAE, Dubai, Town Square,Sale,Furnished,Ready,Q1 2025,UNA Apartments,Apartment
"5,399,898",3 beds,2 baths,"2,996 sqft", UAE, Dubai, Jumeirah Beach Residence (JBR),Sale,Furnished,Ready,Q2 2027,DAMAC Heights,Apartment
"670,000",Studio,1 bath,335 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q3 2025,Dusit Princess Rijas,Apartment
"2,800,000",3 beds,4 baths,"1,384 sqft", UAE, Dubai, Arabian Ranches 3,Sale,Unfurnished,Ready,Q4 2026,Joy,Townhouse
"1,446,000",3 beds,3 baths,"1,314 sqft", UAE, Dubai, Dubai Land Residence Complex,Sale,Furnished,Off-Plan,Q2 2025,Weybridge Gardens,Apartment
"6,250,000",3 beds,4 baths,"3,063 sqft", UAE, Dubai, Jumeirah Park,Sale,Unfurnished,Ready,Q2 2025,Regional,Villa
"1,450,000",1 bed,2 baths,762 sqft, UAE, Dubai, Dubai Marina,Sale,Furnished,Ready,Q1 2027,DAMAC BAY,Apartment
"660,000",Studio,1 bath,332 sqft, UAE, Dubai, Dubai South,Sale,Furnished,Off-Plan,Q4 2025,AZIZI VENICE 2,Apartment
"1,294,106",1 bed,2 baths,889 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Off-Plan,Q2 2026,Ozone1 Residence,Apartment
"1,050,000",Studio,1 bath,572 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q2 2027,DAMAC Maison Majestine,Apartment
"1,800,000",2 beds,2 baths,"1,466 sqft", UAE, Dubai, Dubailand,Sale,Unfurnished,Ready,Q2 2028,Empire Lake Views,Villa
"1,100,000",1 bed,2 baths,667 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Ready,Q4 2026,The Cove II Building 8,Apartment
"2,900,000",1 bed,2 baths,736 sqft, UAE, Dubai, Dubai Creek Harbour,Sale,Furnished,Ready,Q2 2027,Merano Tower,Apartment
"3,400,000",4 beds,4 baths,"3,165 sqft", UAE, Dubai, The Valley by Emaar,Sale,Unfurnished,Off-Plan,Q4 2025,Orania,Villa
"900,000",Studio,1 bath,389 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Ready,Q1 2029,SOL Bay,Apartment
"660,000",Studio,1 bath,461 sqft, UAE, Dubai, Majan,Sale,Furnished,Off-Plan,Q2 2027,Forest City Tower,Apartment
"1,075,184",1 bed,2 baths,822 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q3 2026,Sereno Residences,Apartment
"1,998,000",3 beds,4 baths,"1,555 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Off-Plan,Q3 2027,Legado by Prescott,Apartment
"2,075,000",3 beds,3 baths,"1,832 sqft", UAE, Dubai, Al Furjan,Sale,Furnished,Off-Plan,Q3 2027,Celeste Heights by Zimaya Properties,Apartment
"1,500,956",1 bed,2 baths,688 sqft, UAE, Dubai, Al Satwa,Sale,Unfurnished,Off-Plan,Q3 2026,Brand Centro,Apartment
"1,200,000",2 beds,3 baths,"1,255 sqft", UAE, Dubai, Dubai Sports City,Sale,Furnished,Ready,Q4 2028,DAMAC Islands,Apartment
"2,310,749",2 beds,3 baths,"1,719 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q1 2026,Binghatti Grove,Apartment
"4,000,000",2 beds,3 baths,"2,229 sqft", UAE, Dubai, The Springs,Sale,Furnished,Ready,Q2 2027,The Springs 10,Villa
"600,000",Studio,1 bath,438 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Ready,Q4 2026,SLS Dubai Hotel & Residences,Apartment
"1,172,353",1 bed,1 bath,614 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q1 2027,Azurline Residences by MAAS Developers ,Apartment
"2,100,000",3 beds,3 baths,"1,765 sqft", UAE, Dubai, Dubai Marina,Sale,Unfurnished,Ready,Q4 2025,The Zen,Apartment
"1,250,000",Studio,1 bath,649 sqft, UAE, Dubai, Business Bay,Sale,Unfurnished,Ready,Q2 2028,Marquise Square,Apartment
"1,600,000",3 beds,4 baths,"1,979 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Sale,Unfurnished,Ready,Q2 2027,Victoria,Townhouse
"1,540,000",2 beds,2 baths,"1,341 sqft", UAE, Dubai, Dubai Sports City,Sale,Unfurnished,Off-Plan,Q3 2026,Fairway Residences by Prescott,Apartment
"8,290,000",2 beds,2 baths,"1,839 sqft", UAE, Dubai, Jumeirah Beach Residence (JBR),Sale,Furnished,Ready,Q1 2026,FIVE Luxe,Apartment
"790,000",1 bed,2 baths,716 sqft, UAE, Dubai, Dubai Land Residence Complex,Sale,Furnished,Ready,Q2 2026,Durar B,Apartment
"1,761,600",1 bed,2 baths,625 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Off-Plan,Q4 2026,The EDGE Tower B,Apartment
"2,052,082",2 beds,3 baths,"1,455 sqft", UAE, Dubai, Al Furjan,Sale,Unfurnished,Off-Plan,Q1 2027,Vistara House,Apartment
"1,800,000",1 bed,2 baths,967 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q2 2027,Samana Golf Avenue,Apartment
"1,399,999",1 bed,2 baths,"1,314 sqft", UAE, Dubai, DAMAC Hills,Sale,Furnished,Ready,Q4 2024,Regalia by Deyaar,Apartment
"635,000",Studio,1 bath,625 sqft, UAE, Dubai, International City,Sale,Unfurnished,Off-Plan,Q4 2025,Petalz By Danube,Apartment
"1,906,888",3 beds,4 baths,"1,765 sqft", UAE, Dubai, Dubai Sports City,Sale,Unfurnished,Off-Plan,Q4 2027,The Community - Sports Arena,Apartment
"1,260,000",2 beds,2 baths,970 sqft, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Sale,Unfurnished,Off-Plan,Q2 2027,ELO 3,Apartment
"2,400,000",2 beds,3 baths,"1,355 sqft", UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q4 2026,Sunset Bay by Imtiaz,Apartment
"1,180,417",1 bed,2 baths,792 sqft, UAE, Dubai, Al Furjan,Sale,Unfurnished,Off-Plan,Q4 2027,Reef 999,Apartment
"33,460,000",6 beds,6 baths,"11,319 sqft", UAE, Dubai, Tilal Al Ghaf,Sale,Unfurnished,Off-Plan,Q4 2026,Serenity Mansions,Villa
